cid,name,path
1205,耳机/耳麦,"影音电器,耳机/耳麦"
2203,其它,"户外/登山/野营/旅行用品,其它"
110520,鼠标垫/贴/腕垫,"电脑硬件/显示器/电脑周边,电脑周边,鼠标垫/贴/腕垫"
120802,耳机配件,"3C数码配件,MP3/MP4配件,耳机配件"
150701,手机挂件/手机链,"3C数码配件,手机配件,手机饰品,手机挂件/手机链"
150704,手机保护套/壳,"3C数码配件,手机配件,手机保护套/壳"
150708,手机支架/手机座,"3C数码配件,手机配件,手机支架/手机座"
210211,伞,"居家日用,伞/雨具/防雨/防潮,伞"
211703,橡皮,"电子词典/电纸书/文化用品,日常学习用品,橡皮"
211707,其它文化用品,"电子词典/电纸书/文化用品,其它文化用品"
211708,计算器,"电子词典/电纸书/文化用品,计算器"
213002,靠垫/抱枕,"居家布艺,靠垫/抱枕"
213201,浴帽,"家庭/个人清洁工具,个人洗护清洁用具,浴帽"
215201,其它,"厨房/烹饪用具,烹饪用具,其它"
280903,台历,"个性定制/设计服务/DIY,日用/装饰定制,个性台历/年历,台历"
290905,其它,"ZIPPO/瑞士军刀/眼镜,烟具,其它"
350310,毛球修剪器,"生活电器,毛球修剪器"
350407,加湿器,"生活电器,加湿器"
350615,接线板,"电子/电工,接线板/插头,接线板"
350712,体重秤/健康秤,"个人护理/保健/按摩器材,体重秤/健康秤"
50000346,其它,"餐饮具,其它"
50000563,毛巾/面巾,"居家布艺,毛巾/浴巾/浴袍,毛巾/面巾"
50000566,调味瓶罐,"厨房/烹饪用具,厨用小工具/厨房储物,储物瓶罐/厨房储物器皿,调味瓶罐"
50000570,其它,"家庭/个人清洁工具,个人洗护清洁用具,指甲刀/指甲钳,其它"
50000583,地垫,"居家布艺,地垫"
50001423,其它,"商业/办公家具,其它"
50001691,纸巾套,"收纳整理,家庭收纳用具,收纳套,纸巾套"
50002085,果盆/果盘/果篮,"餐饮具,餐具,果盆/果盘/果篮"
50002664,其它,"孕妇装/孕产妇用品/营养,孕妇装,其它"
50002711,收纳箱,"收纳整理,家庭收纳用具,储物箱,收纳箱"
50002713,压缩袋,"收纳整理,家庭收纳用具,收纳袋,压缩袋"
50002777,枕头/枕芯/保健枕/颈椎枕,"床上用品,枕头/枕芯/保健枕/颈椎枕"
50002791,空调罩,"居家布艺,防尘保护罩,空调罩"
50002795,桌椅脚套/桌脚垫,"居家布艺,餐桌布艺,桌椅脚套/桌脚垫"
50002798,碗,"餐饮具,餐具,碗"
50002800,餐具笼/架,"餐饮具,餐具,餐具笼/架"
50002812,微波炉手套,"厨房/烹饪用具,厨用小工具/厨房储物,厨房电器配套用品,微波炉手套"
50002816,梳子/化妆梳/按摩梳,"家庭/个人清洁工具,个人洗护清洁用具,梳子/便携用镜,梳子/化妆梳/按摩梳"
50002817,医药箱,"收纳整理,家庭收纳用具,储物箱,医药箱"
50003326,键盘刷,"3C数码配件,笔记本电脑配件,键盘刷"
50003338,瓷砖/玻璃贴,"家居饰品,贴饰,瓷砖/玻璃贴"
50003447,牙签筒,"收纳整理,家庭收纳用具,收纳罐,牙签筒"
50003448,杯垫,"餐饮具,杯子/水杯/水壶,杯垫"
50003452,马桶套/马桶座圈,"家庭/个人清洁工具,卫浴/置物用具,马桶套/马桶座圈"
